_M_Barrio_mut0,edu.uclm.esi.iso5.juegos.monopoly.dominio.Barrio,todasLasCallesPertenecenAlMismo,||,&&
_M_Jugador_mut43,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,%,/
_M_Jugador_mut44,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,>,==
_M_Jugador_mut45,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,>,!=
_M_Jugador_mut46,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,>,<
_M_Jugador_mut47,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,>,<=
_M_Jugador_mut48,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,>,>=
_M_Jugador_mut49,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,!=
_M_Jugador_mut50,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,<
_M_Jugador_mut51,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,>
_M_Jugador_mut52,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,<=
_M_Jugador_mut53,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,>=
_M_Jugador_mut54,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,!=
_M_Jugador_mut55,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,<
_M_Jugador_mut56,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,>
_M_Jugador_mut57,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,<=
_M_Jugador_mut58,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,>=
_M_Jugador_mut59,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,!=
_M_Jugador_mut60,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,<
_M_Jugador_mut61,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,>
_M_Jugador_mut62,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,<=
_M_Jugador_mut63,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,>=
_M_Jugador_mut64,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,!=
_M_Jugador_mut65,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,<
_M_Jugador_mut66,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,>
_M_Jugador_mut67,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,<=
_M_Jugador_mut68,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,>=
_M_Jugador_mut69,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,!=
_M_Jugador_mut70,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,<
_M_Jugador_mut71,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,>
_M_Jugador_mut72,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,<=
_M_Jugador_mut73,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,>=
_M_Jugador_mut74,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,!=
_M_Jugador_mut75,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,<
_M_Jugador_mut76,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,>
_M_Jugador_mut77,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,<=
_M_Jugador_mut78,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,avanzar,==,>=
_M_Jugador_mut79,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,comprar,==,!=
